\beta,\phi,p,r
<<<<<<< HEAD
0.0,0.0,0.0,0.0
0.0001604833132000539,0.0007231155120432568,0.0011049767354470458,-0.000172509716270341
0.0005464875256796181,0.002501972707072889,0.001769821533564421,-0.00036096168435846283
0.0011699761762797504,0.004893472400174399,0.0021351854157395356,-0.0005466171555093026
0.002025967039845625,0.007598902944939971,0.002302316137652136,-0.0007241378089869028
0.003115933765309837,0.010427547051625952,0.002350283678201664,-0.0009088120910504812
0.004478822898670053,0.013275551880839875,0.0023439613391256528,-0.0011425332733219148
0.0062228392281296705,0.016108891816586025,0.002332810958861316,-0.0014916099465810606
0.00854360767556203,0.018940132301829143,0.0023424699922687713,-0.002031263102645618
0.011713905450022289,0.021793600433874672,0.002365423667080838,-0.0028193794316721576
0.01604073610745916,0.024663009259290047,0.0023592729662100147,-0.0038708593788078544
0.021801538620655137,0.027474256926933813,0.0022572244280327984,-0.005145469879571794
0.029181041010865917,0.030067018327729473,0.001987393036777685,-0.006554010829117609
0.03822673579762439,0.03220063310997795,0.0014918815014026126,-0.007976476495022585
0.04882777081594331,0.03357865411323493,0.0007374553231436318,-0.009280139954173513
0.06070893783754158,0.03387980530164585,-0.0002843377494287146,-0.010328303173065644
0.0734273734653935,0.03278489657761568,-0.0015626543535498074,-0.010979695219067432
0.08636768206400382,0.02999793615872412,-0.0030699964058125153,-0.011088060928335162
0.09874552810829888,0.025268743929295408,-0.0047567164183393296,-0.010513720845343345
0.1096381498786685,0.01842616267570739,-0.006540178285254704,-0.009150660750408561
0.11805378080098304,0.009423001895360914,-0.008298144405579251,-0.0069595871016163505
0.12303341409759229,-0.0016183894639602858,-0.009875483967357936,-0.003990166057041963
0.12376114394227698,-0.014377764132853427,-0.011105221028362462,-0.00038092315403565286
0.1196559923607287,-0.02833904868728214,-0.011835783135215522,0.003661534961211293
0.11042927006927535,-0.0428235322193783,-0.011953344269063144,0.007892249336743318
0.09610706304409714,-0.057043492426388925,-0.011392676784946496,0.012054486740199776
0.07702660378151724,-0.07016221981522631,-0.010137631189269173,0.015898340296440765
0.05381461855565859,-0.08135124376652755,-0.008217187209934732,0.019194020544037335
0.027350808249462483,-0.08984253590852208,-0.005701498524503228,0.021743627028757068
-0.0012814466558670867,-0.09497580871333852,-0.0026972324046323016,0.023390545992030262
-0.030850650806312215,-0.09623815295331044,0.0006609104325796592,0.02402207679859228
-0.060028945888646726,-0.09329091821372633,0.004222287651403833,0.023563898162340592
-0.08743469643753779,-0.08598244471387666,0.007830230931579805,0.021973078571597582
-0.1116736901913788,-0.07435360451101017,0.011323109189528642,0.019241597161406297
-0.13139803503228192,-0.0586477182135058,0.014526891694857973,0.015416996476413791
-0.14539828725262896,-0.039329913879364214,0.017249334653875834,0.010632042448904613
-0.15272352223069316,-0.017105877600216035,0.019288729108814785,0.005122978522424987
-0.1527997640738626,0.007081575392967533,0.020461376059213544,-0.0007814468239676369
-0.14550902763391788,0.03209612522622484,0.020637703556739842,-0.006700563161799152
-0.1312066359528821,0.05669172837687155,0.019769374194857522,-0.01225405820174967
-0.11068142288521657,0.07961727632553119,0.01789561972066245,-0.017103909958169586
-0.0850816154157853,0.09971667137203338,0.01513078361172223,-0.02097571649387954
-0.05582827712782625,0.11600803262801879,0.011644622301779237,-0.023664988826710667
-0.02452444752498714,0.12774025442118853,0.0076459127931113,-0.02504104269782853
0.007143919123383456,0.13443325717393392,0.0033715337561717336,-0.025055865054560197
0.03751862341298962,0.13590564781689082,-0.0009247818124078584,-0.023753590797375098
0.06508274147969283,0.13228503792580387,-0.004990622117845258,-0.021268925056581366
0.08855722508803077,0.12399210154824933,-0.008599102451625588,-0.0178082456693759
0.10696443235699168,0.11169607955042199,-0.011569759967876321,-0.013620984183092195
0.11965891754576949,0.09625171978510479,-0.013777317636619706,-0.008975919246749916
0.12633808231698093,0.07863298647851615,-0.015149370340385118,-0.004148564576668439
0.12704087112578819,0.059871740147562094,-0.015662379164642734,0.0005883321697280447
0.12212896139609114,0.040998570394869545,-0.015342533897203761,0.00498202543921767
0.11224066271519742,0.02298116200252715,-0.014267411090012682,0.008823457544737914
0.09822002722781195,0.00666482344524333,-0.012559307868817416,0.011964368815893673
0.08103820069945736,-0.007272233495606116,-0.01036813025573187,0.01431845372922037
0.061724634803629316,-0.018339956749951085,-0.007851224712155104,0.015850274695872347
0.041314771874040965,-0.026235612646177152,-0.005158444294997025,0.016561978906475056
0.020811384360459987,-0.030829477541939675,-0.002424672934875854,0.01648363179416597
0.001155197065609587,-0.032144793777587735,0.00023278285828732889,0.015666643926080564
-0.016797141585629432,-0.03033608232354349,0.0027145838418749626,0.014178272390184129
-0.032289320833975184,-0.025668051794601812,0.004937852447509036,0.012097980964115908
-0.044680627047204206,-0.018497887001543065,0.006831981115858501,0.0095188321913846
-0.05346784752019204,-0.009263901090476234,0.008332714710243386,0.0065553320611735875
-0.058318880452341855,0.0015195459319013237,0.009378641550945442,0.003353631264272642
-0.059114064136740044,0.013266868384530915,0.009914969633007566,9.54584634218111e-05
-0.05598122471445189,0.025335851750326797,0.00990559013530167,-0.0030115323424865052
-0.049306624144026534,0.037059834424052036,0.00934889815977511,-0.0057579323106940914
-0.039708750292116256,0.047797670534288544,0.008290048620740476,-0.007965267772253254
-0.02797361878032422,0.056992867933024154,0.006822863999994968,-0.009515932044802954
-0.014966008875330951,0.06422665305392139,0.005077599049873482,-0.010366989852900136
-0.0015435169149042212,0.06924854443825482,0.0031970946391159574,-0.010540211607376665
0.01150130741961295,0.07197583356934424,0.0013115298825873832,-0.010094552829444627
0.02346333152851188,0.07246791071553182,-0.00047601039595798804,-0.009098717247568002
0.0337259739524032,0.07089283975714149,-0.0020878119609329094,-0.007620085926742571
0.04176548060951651,0.06750367971685471,-0.003458784836500588,-0.005733819637189077
0.04717532103201019,0.06263108109894376,-0.004524585369231263,-0.0035416490464150762
0.04970826831191487,0.05668407017520172,-0.00522135000999263,-0.0011829081914933135
0.04931590686699584,0.050142641896983565,-0.005498889035636656,0.0011741183666450668
0.04616228979744258,0.04353017618108846,-0.005338663611845177,0.0033581053793711843
0.040601857011489176,0.03736740859161245,-0.004764343517948853,0.005223780615922207
0.03313032157377783,0.032121799972629476,-0.0038384880572497546,0.006669671656356548
0.02432808656344165,0.02816841671818494,-0.002647956152540492,0.007638817386516591
0.014813682076376825,0.025771295802842587,-0.0012862671562953764,0.008107446093222198
0.005212902941290679,0.025083777565937937,0.000158907922394448,0.00807289808633501
-0.003863916457883303,0.026158684995057295,0.0016092819696476195,0.007550582138403043
-0.011849326040956074,0.028958121591171428,0.0029925540198663205,0.006581031750859449
-0.018256726459010008,0.03335791110261347,0.0042381355558429624,0.005238358638133357
-0.022721464811317555,0.03914924694544929,0.0052775115409497125,0.0036294053541031943
-0.025030500840934538,0.04604444930251437,0.0060504839710821805,0.0018809251927029216
-0.025131130674863156,0.053692616304141016,0.006514604412565326,0.00012164773024233417
-0.023120041243222537,0.061706595373665886,0.006653718776635382,-0.0015320992218158837
-0.019220594091254192,0.06969788284280952,0.006481951016434463,-0.002983734105174138
-0.013755758908593228,0.077312458660633,0.006041094710172329,-0.004158606654043066
-0.007120194908331743,0.08425965162694901,0.005392068306706915,-0.005004395740916798
0.00024804099868061546,0.09032856307988607,0.004603630167432392,-0.0054915716102779295
0.007896200044132011,0.09539123425012029,0.00374247158650301,-0.0056137270779312775
0.015384822133894638,0.09939618920722043,0.002867544611192212,-0.005386590004313753
0.022312622535276265,0.10235794478135393,0.0020289041690676407,-0.00484492986214376
0.028335958135909646,0.10434698692966649,0.0012692051427579333,-0.004037818315172594
0.033181990852235395,0.10548192283994823,0.0006254036678746787,-0.0030236518811887756
0.0366563355292163,0.10592290953614032,0.00012898077441174827,-0.0018661154885002734
0.038646592034911775,0.10586425020041217,-0.0001955750289280785,-0.0006312226787522327
0.03912263615432838,0.10552454404910175,-0.00033305063802355065,0.0006151817402635943
0.03813374833461612,0.10513425516318914,-0.0002792988864954728,0.0018100402968231769
0.035802289062970546,0.10492178770075967,-4.186631724842371e-05,0.0028959739391431097
0.03231376983786438,0.10509956164999444,0.0003606176508812364,0.0038242235786702067
0.027903630698528425,0.10585153740488502,0.0009002092557739937,0.004557207269919983
0.02284164434138801,0.10732351996540947,0.0015424314387235303,0.0050701792382579726
0.017415402495680462,0.10961721755151593,0.002249562352855798,0.005351607670235509
0.011914485965038005,0.11278814550524867,0.002983518040623685,0.005402295296959733
0.006616463619191504,0.11684639200421218,0.003707626013216537,0.005233772865632841
0.0017750177154617955,0.12175891435047258,0.004387499887054082,0.004866687324203138
-0.002390142013578221,0.1274527982248335,0.004991928795822384,0.0043295516005037345
-0.005701876091529852,0.1338199450653673,0.005494373412485213,0.003657628393901921
-0.008032496578610599,0.14072379417502875,0.0058746806531253925,0.0028914612558927568
-0.009308299421756766,0.14800780496160132,0.006120124380152184,0.0020748337930987315
-0.009511206845756107,0.15550455900929255,0.006225403571159897,0.0012523618067859503
-0.00867738219273237,0.16304443801464283,0.006192080371799306,0.00046706966632665355
-0.006893005259756203,0.17046362986642122,0.00602812077589827,-0.00024184329398864126
-0.0042875341181613635,0.17761173042552209,0.005747644423535418,-0.0008409621869641311
-0.0010249171689787541,0.18435894924838597,0.005370412966094727,-0.0013042027042730556
0.0027065625246394678,0.1906022761187117,0.004920570425672081,-0.00161376036709283
0.006704998672994306,0.19626964664323981,0.004424656569070783,-0.0017604049466540426
0.010765424620784305,0.20132152446571047,0.003909457573476705,-0.0017432691037243767
0.014689819793452916,0.2057501032375453,0.003400308776316436,-0.001569400197880093
0.01829642794656445,0.2095767771696885,0.0029198732229937536,-0.0012532584696389449
0.021428251920129298,0.21284811980706328,0.0024867598285029805,-0.000816055048443705
0.023960244968730778,0.21562985201597873,0.0021135907678700235,-0.0002845766764493318
0.025804375742608483,0.2179985328638675,0.0018054680886379188,0.0003107247506309108
0.02691187157679154,0.22003263498385137,0.001560865304466752,0.000938133239593051
0.027272563768426555,0.2218067972423075,0.0013759711937461467,0.0015669802561823656
0.02691190520187526,0.22339258642889614,0.0012504641695444143,0.00216937157631171
0.025886533410946107,0.22486497995612642,0.0011903666255345157,0.0027211528138633275
0.02427920873750279,0.22630893147443448,0.001205154696231226,0.0032022257317280913
0.02219368523573858,0.2278196428682435,0.001300996582124381,0.003596519577609421
0.019749656588403976,0.22949475778150552,0.0014750952981056422,0.003891988015994331
0.01707753226979899,0.23142229836406517,0.0017146118956565758,0.004080882303487203
0.01431268364220433,0.2336700656902049,0.0019997862489027824,0.004160275212364686
0.01158906337538043,0.2362799900551263,0.0023084251011258653,0.00413253021321788
0.009032588703952226,0.23926739257116145,0.0026192101607944427,0.004005322381532399
0.006755034949169485,0.24262307972798197,0.0029131087135573237,0.003791027675725227
0.0048491189555990456,0.2463163404489069,0.003173652654069421,0.0035056591221269877
0.003385045747616139,0.2502981317111469,0.0033871171999728606,0.0031677069481702716
0.0024084373639774973,0.2545047005468491,0.003543084975680723,0.0027970913803233577
0.0019395096284644563,0.2588620611741217,0.00363521677905149,0.002414190244567701
0.0019734737117339017,0.26329126819759685,0.003661694571908729,0.0020388527779451157
0.002482141284883708,0.2677138123670187,0.0036249470348166243,0.001689451448136003
0.0034165626154696546,0.27205628316215813,0.0035307825310861287,0.0013821126546667518
0.00471041588305115,0.2762538818251013,0.003387466442569032,0.0011301780546750632
0.006283922324468162,0.2802529965788072,0.003205120359436841,0.0009438059899534532
0.008048189935215196,0.28401316296795487,0.0029952181349368824,0.0008296149483124467
